"Familia","N_Codigos","Media_Kappa","Mediana_Kappa","Min_Kappa","Max_Kappa","Rango_Kappa"
"Contenido",9,0.639555555555556,0.653,0,1,1
"Contexto",9,0.514888888888889,0.634,0,1,1
"Evaluación",13,0.365307692307692,0,-0.03,1,1.03
"Forma",7,0.615142857142857,0.653,0,1,1
